"Player","League","Age","wi_star","Salary","SimpPos","PTS","GP","GS","MP","FG","FGA","FGP","X3P","X3PA","X3PP","X2P","X2PA","X2PP","FT","FTA","FTP","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","fpcBball"
"LeBron James","NBA",38,5.69512195121951,44474988,"F",28.9,55,54,35.5,11.1,22.2,0.5,2.2,6.9,0.321,8.9,15.3,0.58,4.6,5.9,0.768,1.2,7.1,8.3,6.8,0.9,0.6,3.2,1.6,635
"Bradley Beal","NBA",29,5.69512195121951,43279250,"G",23.2,50,50,33.5,8.9,17.6,0.506,1.6,4.4,0.365,7.3,13.2,0.552,3.8,4.6,0.842,0.8,3.1,3.9,5.4,0.9,0.7,2.9,2.1,635
"Damian Lillard","NBA",32,5.69512195121951,42492492,"G",32.2,58,58,36.3,9.6,20.7,0.463,4.2,11.3,0.371,5.4,9.4,0.574,8.8,9.6,0.914,0.8,4,4.8,7.3,0.9,0.3,3.3,1.9,635
"Kyrie Irving","NBA",30,5.69512195121951,38917057,"G",27.1,60,60,37.4,9.9,20.1,0.494,3.1,8.3,0.379,6.8,11.8,0.574,4.1,4.6,0.905,1,4.1,5.1,5.5,1.1,0.8,2.1,2.8,635
"Trae Young","NBA",24,5.69512195121951,37096500,"G",26.2,73,73,34.8,8.2,19,0.429,2.1,6.3,0.335,6.1,12.7,0.476,7.8,8.8,0.886,0.8,2.2,3,10.2,1.1,0.1,4.1,1.4,635
"Jamal Murray","NBA",25,5.69512195121951,31650600,"G",20,65,65,32.8,7.3,16,0.454,2.6,6.6,0.398,4.6,9.4,0.494,2.8,3.3,0.833,0.7,3.2,4,6.2,1,0.2,2.2,1.6,635
"Bam Adebayo","NBA",25,5.69512195121951,30351780,"C",20.4,75,75,34.6,8,14.9,0.54,0,0.2,0.083,8,14.7,0.545,4.3,5.4,0.806,2.5,6.7,9.2,3.2,1.2,0.8,2.5,2.8,635
"De'Aaron Fox","NBA",25,5.69512195121951,30351780,"G",25,73,73,33.4,9.3,18.2,0.512,1.6,5,0.324,7.7,13.2,0.584,4.7,6,0.78,0.5,3.6,4.2,6.1,1.1,0.3,2.5,2.4,635
"Gordon Hayward","NBA",32,5.69512195121951,30075000,"F",14.7,50,50,31.5,5.5,11.6,0.475,1,3.2,0.325,4.5,8.4,0.532,2.6,3.2,0.811,0.7,3.6,4.3,4.1,0.8,0.2,2,1.4,635
"Chris Paul","NBA",37,5.69512195121951,28400000,"G",13.9,59,59,32,5,11.3,0.44,1.7,4.4,0.375,3.3,6.9,0.482,2.3,2.7,0.831,0.5,3.8,4.3,8.9,1.5,0.4,1.9,2.1,635
"Jerami Grant","NBA",28,5.69512195121951,20955000,"F",20.5,63,63,35.7,6.9,14.5,0.475,2.3,5.7,0.401,4.6,8.8,0.523,4.4,5.4,0.813,0.8,3.7,4.5,2.4,0.8,0.8,1.8,2.4,635
