"Player","League","Age","wi_star","Salary","SimpPos","PTS","GP","GS","MP","FG","FGA","FGP","X3PP","X2PP","FTP","TRB","AST"
"LeBron James","NBA",38,5.69512195121951,44474988,"F",28.9,55,54,35.5,11.1,22.2,0.5,0.321,0.58,0.768,8.3,6.8
"Bradley Beal","NBA",29,5.69512195121951,43279250,"G",23.2,50,50,33.5,8.9,17.6,0.506,0.365,0.552,NA,3.9,5.4
"Damian Lillard","NBA",32,5.69512195121951,42492492,"G",32.2,NA,58,36.3,9.6,20.7,NA,0.371,0.574,0.914,4.8,7.3
"Kyrie Irving","NBA",30,5.69512195121951,38917057,"G",27.1,NA,60,37.4,9.9,20.1,0.494,0.379,NA,0.905,5.1,5.5
"Trae Young","NBA",24,5.69512195121951,37096500,"G",26.2,73,73,34.8,8.2,19,0.429,0.335,0.476,0.886,NA,10.2
"Jamal Murray","NBA",25,5.69512195121951,31650600,"G",20,65,NA,32.8,7.3,16,NA,0.398,0.494,0.833,NA,6.2
"Bam Adebayo","NBA",25,5.69512195121951,30351780,"C",20.4,75,75,34.6,8,14.9,0.54,0.083,0.545,0.806,9.2,3.2
"De'Aaron Fox","NBA",25,5.69512195121951,NA,"G",25,NA,NA,33.4,NA,18.2,NA,0.324,0.584,0.78,NA,6.1
"Gordon Hayward","NBA",32,5.69512195121951,30075000,"F",14.7,50,50,31.5,5.5,11.6,0.475,NA,NA,0.811,4.3,4.1
"Chris Paul","NBA",37,5.69512195121951,28400000,"G",13.9,59,59,32,5,11.3,0.44,0.375,0.482,NA,4.3,8.9
"Jerami Grant","NBA",28,5.69512195121951,NA,"F",20.5,NA,63,35.7,6.9,14.5,NA,0.401,0.523,NA,NA,2.4
"Mikal Bridges","NBA",26,5.69512195121951,20100000,"F",20.1,NA,83,35.7,7.1,15.3,0.468,0.382,0.514,0.895,NA,3.3
"Duncan Robinson","NBA",28,5.69512195121951,16902000,"F",NA,42,1,16.5,2.1,5.6,0.371,0.328,0.556,NA,1.6,1.1
"Collin Sexton","NBA",24,5.69512195121951,16700000,"G",14.3,48,15,23.9,4.9,9.8,0.506,0.393,0.546,0.819,NA,2.9
"Malik Beasley","NBA",26,5.69512195121951,15558035,"G",12.7,81,27,25.8,4.6,NA,0.395,NA,0.484,NA,3.5,1.5
"Tyus Jones","NBA",26,5.69512195121951,1.5e+07,"G",10.3,80,22,24.3,3.9,8.9,0.438,0.371,0.495,NA,2.5,5.2
"Kyle Kuzma","NBA",27,5.69512195121951,1.3e+07,"F",21.2,NA,64,35,8,17.8,0.448,0.333,0.533,0.73,7.2,3.7
"Kelly Olynyk","NBA",31,5.69512195121951,12804878,"C",12.5,68,NA,28.6,4.1,8.2,0.499,NA,NA,NA,NA,NA
"Robert Covington","NBA",32,5.69512195121951,12307692,"F",6,48,0,16.2,2.1,NA,0.445,0.397,0.516,0.75,3.5,NA
"Terrence Ross","NBA",31,5.69512195121951,11500000,"G",8.3,63,NA,21.1,3.2,NA,NA,0.368,0.507,0.794,2.4,1.5
"Nerlens Noel","NBA",28,5.69512195121951,9391069,"C",NA,17,NA,NA,NA,NA,0.361,0.5,0.353,0.667,2.7,NA
"Maxi Kleber","NBA",31,5.69512195121951,9e+06,"F",5.9,37,5,25.1,2.1,4.6,0.456,0.348,NA,0.711,3.6,1.4
"Gary Payton II","NBA",30,5.69512195121951,8300000,"G",4.6,22,1,16.7,1.9,3.1,0.594,NA,NA,NA,NA,1.4
"Dewayne Dedmon","NBA",33,5.69512195121951,8283688,"C",5.2,38,1,11.2,2,4,NA,0.308,0.58,0.673,3.5,0.7
"Taurean Prince","NBA",28,5.69512195121951,7100000,"F",9.1,54,4,22.1,3.3,7,0.467,0.381,0.557,0.844,2.4,1.6
"Caleb Martin","NBA",27,5.69512195121951,6479000,"F",9.6,71,49,29.3,3.6,NA,0.464,0.356,0.545,0.805,4.8,1.6
"Onyeka Okongwu","NBA",22,5.69512195121951,6395160,"C",9.9,80,NA,23.1,4,6.2,NA,0.308,NA,0.781,NA,1
"Killian Hayes","NBA",21,5.69512195121951,5837760,"G",NA,76,56,NA,4,10.7,NA,0.28,NA,NA,2.9,6.2
"JaVale McGee","NBA",35,5.69512195121951,5461219,"C",4.4,NA,NA,8.5,1.9,3,0.64,0.4,0.65,0.585,NA,0.3
"Goga Bitadze","NBA",23,5.69512195121951,5377520,"C",4.4,38,1,NA,1.8,3.3,0.552,NA,0.636,NA,3.6,1
"Donte DiVincenzo","NBA",26,5.69512195121951,4500000,"G",NA,72,NA,26.3,3.3,7.5,0.435,0.397,0.525,0.817,4.5,3.5
"James Bouknight","NBA",22,5.69512195121951,NA,"G",5.6,34,0,15.1,2,NA,NA,0.303,0.429,NA,2.1,1.2
"Jalen Williams","NBA",21,5.69512195121951,4341480,"G",14.1,NA,62,30.3,5.5,10.6,0.521,0.356,0.579,0.812,4.5,NA
"Grant Williams","NBA",24,5.69512195121951,4306281,"F",8.1,79,23,25.9,2.7,6,0.454,0.395,NA,0.77,4.6,1.7
"Darius Bazley","NBA",22,5.69512195121951,4264628,"C",5.2,NA,1,14.3,1.9,NA,0.454,NA,0.485,0.543,3.2,0.9
