County,Site ID,Site Name,Site Type,Address,City,State,Zip,School_District,Grade,Num_Doc_Required,Num_Not_Counted,Per_Vac_Dtap_Tdap,Per_Vac_Polio,Per_Vac_Varicella,Per_Vac_MMR1,Per_Vac_Measles,Per_Vac_HepB,Per_Vac_HepA,Per_Vac_AllVac,PerNonmed_Exempt__AnyVac,PerNonmed_Exempt__DTaP_Tdap,PerNonmed_Exempt__Polio,PerNonmed_Exempt__Varicella,PerNonmed_Exempt__MMR2,PerNonmed_Exempt__Mumps,PerNonmed_Exempt__Rubella,PerNonmed_Exempt__HepB,PerNonmed_Exempt__HepA,PerNonmed_Exempt__AllVac,Percent_No_Record,Percent_Medical_Exemptions,X,Y
Baker,CC503919,BAKER EARLY LEARNING COLLABORATIVE,PUBLIC SCHOOL,2725 7TH ST,Baker City,OR,97814,Baker SD 5J,FULL SCHOOL GRADES K-12,88,0,88.6,89.8,95.5,96.6,88.6,95.5,89.8,86.4,11.4,10.2,10.2,4.5,11.4,3.4,3.4,4.5,8,1.1,0,0,-117.83839,44.783951
Baker,8,BAKER HIGH SCHOOL,PUBLIC SCHOOL,2500 E St,BAKER CITY,OR,97814,Baker SD 5J,FULL SCHOOL GRADES K-12,507,0,93.5,96.1,96.6,97.2,96.4,96.3,94.1,89.7,7.3,5.9,3.6,3.2,3.2,2.4,2.4,3.2,4.5,2.4,0,0.2,-117.836893,44.787022
Baker,1,BAKER MIDDLE SCHOOL,PUBLIC SCHOOL,2320 WASHINGTON Ave,BAKER CITY,OR,97814,Baker SD 5J,FULL SCHOOL GRADES K-12,227,0,93.8,97.4,97.8,98.2,97.8,97.8,96.9,92.5,7.5,6.2,2.6,2.2,2.2,1.8,1.8,1.8,3.1,1.3,0,0,-117.834873,44.777421
Baker,<Null>,BAKER VALLEY SEVENTH-DAY ADVENTIST SCHOOL,PRIVATE SCHOOL,42171 CHICO Rd,BAKER CITY,OR,97814,None,FULL SCHOOL GRADES K-12,16,1,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,-117.849478,44.796573
Baker,4728,BAKER WEB ACADEMY,ONLINE SCHOOL,3000 Broadway Ave,BAKER CITY,OR,97814,None,FULL SCHOOL GRADES K-12,2454,0,79.1,83,85.3,86.7,82.6,85.2,82.4,76,23.7,20.7,17,14.6,17.3,13.2,13.2,14.8,17.3,11.9,0.1,0,-117.838186,44.783906
Baker,2,BROOKLYN ELEMENTARY SCHOOL,PUBLIC SCHOOL,1350 WASHINGTON Ave,BAKER CITY,OR,97814,Baker SD 5J,FULL SCHOOL GRADES K-12,276,0,96,96.7,97.8,98.2,96.7,97.8,97.1,95.7,3.3,3.3,2.9,1.8,2.9,1.4,1.4,1.8,2.2,1.1,0,0,-117.82124,44.777411
Baker,3347,BURNT RIVER SCHOOL DISTRICT,PUBLIC SCHOOL,P.O. Box 9,UNITY,OR,97884,Burnt River SD 30J,FULL SCHOOL GRADES K-12,20,8,85,80,85,90,90,75,80,70,30,15,20,15,10,10,10,25,20,5,0,0,-118.191966,44.439893
Baker,3493,EAGLE CAP HIGH SCHOOL,PUBLIC SCHOOL,2725 7TH St,BAKER CITY,OR,97814,Baker SD 5J,FULL SCHOOL GRADES K-12,65,0,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,-117.838186,44.783906
Baker,4,HAINES ELEMENTARY SCHOOL,PUBLIC SCHOOL,P.O. BOX 306,HAINES,OR,97833,Baker SD 5J,FULL SCHOOL GRADES K-12,154,0,92.2,91.6,92.9,92.9,92.9,92.9,92.2,90.3,4.5,4.5,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,0.6,0,-117.934219,44.914134
Baker,<Null>,HARVEST CHRISTIAN ACADEMY,PRIVATE SCHOOL,3720 BIRCH St,BAKER CITY,OR,97814,None,FULL SCHOOL GRADES K-12,100,0,75,76,79,79,79,79,79,75,26,25,24,21,21,21,21,21,21,21,0,0,-117.813676,44.793828
