"JWTR","transport_type","avg_time","med_time","min_time","max_time","q25_time","q75_time","n","n_missing","state","state_n","prop","state_name"
1,"Car, truck, or van",24.3046360499418,20,1,194,10,30,91867,0,"al",97003,0.947053183922147,"Alabama"
2,"Bus or trolley bus",37.272952853598,30,1,194,15,45,403,0,"al",97003,0.00415451068523654,"Alabama"
3,"Streetcar or trolley car",49.5,45,18,90,27,67.5,4,0,"al",97003,4.12358380668639e-05,"Alabama"
4,"Subway or elevated",21.8,30,3,40,6,30,5,0,"al",97003,5.15447975835799e-05,"Alabama"
5,"Railroad",10,10,10,10,10,10,1,0,"al",97003,1.0308959516716e-05,"Alabama"
6,"Ferryboat",32.5,32,5,60,18.75,46.25,2,0,"al",97003,2.0617919033432e-05,"Alabama"
7,"Taxicab",14.825,15,1,45,10,20,40,0,"al",97003,0.000412358380668639,"Alabama"
8,"Motorcycle",23.6313131313131,20,2,155,15,30,198,0,"al",97003,0.00204117398430976,"Alabama"
9,"Bicycle",15.6470588235294,10,2,90,5,18.25,136,0,"al",97003,0.00140201849427337,"Alabama"
10,"Walked",10.1304713804714,5,1,194,2,10,1188,0,"al",97003,0.0122470439058586,"Alabama"
11,"Worked at home",NA,NA,NA,NA,NA,NA,2524,2524,"al",97003,0.0260198138201911,"Alabama"
12,"Other method",36.2755905511811,20,1,194,10,44,635,0,"al",97003,0.00654618929311465,"Alabama"
1,"Car, truck, or van",17.9290739134625,15,1,180,8,20,10377,0,"ak",14570,0.712216884008236,"Alaska"
2,"Bus or trolley bus",34.6459627329193,30,1,157,15,48,161,0,"ak",14570,0.0110501029512697,"Alaska"
3,"Streetcar or trolley car",8,8,8,8,8,8,1,0,"ak",14570,6.86341798215511e-05,"Alaska"
4,"Subway or elevated",10,10,10,10,10,10,2,0,"ak",14570,0.000137268359643102,"Alaska"
6,"Ferryboat",47.2666666666667,30,1,145,15,85,15,0,"ak",14570,0.00102951269732327,"Alaska"
7,"Taxicab",10.7931034482759,7,1,90,5,11.5,58,0,"ak",14570,0.00398078242964997,"Alaska"
8,"Motorcycle",14.0967741935484,10,2,45,9,15,31,0,"ak",14570,0.00212765957446809,"Alaska"
9,"Bicycle",16.5704697986577,15,1,60,5,20,149,0,"ak",14570,0.0102264927934111,"Alaska"
10,"Walked",6.70172764227642,5,1,145,3,10,1968,0,"ak",14570,0.135072065888813,"Alaska"
11,"Worked at home",NA,NA,NA,NA,NA,NA,812,812,"ak",14570,0.0557309540150995,"Alaska"
12,"Other method",22.6064257028112,5,1,180,3,15,996,0,"ak",14570,0.0683596431022649,"Alaska"
1,"Car, truck, or van",24.5093608045303,20,1,180,12,30,114253,0,"az",130002,0.878855709912155,"Arizona"
2,"Bus or trolley bus",48.6678848789402,45,1,180,30,60,2189,0,"az",130002,0.0168382024891925,"Arizona"
3,"Streetcar or trolley car",39.0961538461538,37,5,120,22.25,51.25,52,0,"az",130002,0.000399993846248519,"Arizona"
4,"Subway or elevated",37.3055555555556,30,10,126,20,45,36,0,"az",130002,0.00027691881663359,"Arizona"
5,"Railroad",36.72,30,15,105,20,40,25,0,"az",130002,0.000192304733773327,"Arizona"
6,"Ferryboat",34,30,12,60,21,45,3,0,"az",130002,2.30765680527992e-05,"Arizona"
7,"Taxicab",21.032967032967,15,1,120,10,23.5,91,0,"az",130002,0.000699989230934909,"Arizona"
8,"Motorcycle",23.4634146341463,20,1,180,15,30,697,0,"az",130002,0.00536145597760034,"Arizona"
9,"Bicycle",20.4081981212639,15,2,153,10,25,1171,0,"az",130002,0.00900755372994262,"Arizona"
10,"Walked",11.4278951201748,8,1,180,5,15,2746,0,"az",130002,0.0211227519576622,"Arizona"
11,"Worked at home",NA,NA,NA,NA,NA,NA,7402,7402,"az",130002,0.0569375855756065,"Arizona"
12,"Other method",34.149588631264,20,1,180,10,40,1337,0,"az",130002,0.0102844571621975,"Arizona"
1,"Car, truck, or van",22.2769197144106,15,1,195,10,30,54904,0,"ar",58986,0.930797138304004,"Arkansas"
2,"Bus or trolley bus",31.1333333333333,22.5,1,131,15,45,210,0,"ar",58986,0.00356016681924524,"Arkansas"
3,"Streetcar or trolley car",127.5,127.5,60,195,93.75,161.25,2,0,"ar",58986,3.39063506594785e-05,"Arkansas"
4,"Subway or elevated",10,10,10,10,10,10,1,0,"ar",58986,1.69531753297393e-05,"Arkansas"
5,"Railroad",15,15,10,20,12.5,17.5,2,0,"ar",58986,3.39063506594785e-05,"Arkansas"
6,"Ferryboat",34,34,8,60,21,47,2,0,"ar",58986,3.39063506594785e-05,"Arkansas"
7,"Taxicab",18.92,10,5,70,10,20,25,0,"ar",58986,0.000423829383243482,"Arkansas"
8,"Motorcycle",21.2883435582822,17,2,75,10,30,163,0,"ar",58986,0.0027633675787475,"Arkansas"
9,"Bicycle",15.9701492537313,10,2,60,7.5,20,67,0,"ar",58986,0.00113586274709253,"Arkansas"
10,"Walked",8.40849056603774,5,1,195,2,10,1060,0,"ar",58986,0.0179703658495236,"Arkansas"
11,"Worked at home",NA,NA,NA,NA,NA,NA,2027,2027,"ar",58986,0.0343640863933815,"Arkansas"
12,"Other method",27.3728489483748,15,1,195,5,30,523,0,"ar",58986,0.00886651069745363,"Arkansas"
1,"Car, truck, or van",26.3685994598468,20,1,178,15,30,653148,0,"ca",769646,0.848634307200973,"California"
2,"Bus or trolley bus",46.239483675019,40,1,178,30,60,26340,0,"ca",769646,0.0342235261405893,"California"
3,"Streetcar or trolley car",42.349593495935,40,1,178,30,55,984,0,"ca",769646,0.00127850986037737,"California"
4,"Subway or elevated",48.9731077201994,45,1,178,30,60,6619,0,"ca",769646,0.00860005768885955,"California"
5,"Railroad",70.5213675213675,60,1,178,45,90,2808,0,"ca",769646,0.00364843057717444,"California"
6,"Ferryboat",60.9900332225914,60,1,178,45,75,301,0,"ca",769646,0.000391088890217061,"California"
7,"Taxicab",21.1461794019934,15,1,178,10,25,301,0,"ca",769646,0.000391088890217061,"California"
8,"Motorcycle",24.2233434241507,20,1,178,12,30,2973,0,"ca",769646,0.0038628148525426,"California"
9,"Bicycle",20.0443760420675,15,1,178,10,25,7797,0,"ca",769646,0.0101306314851243,"California"
10,"Walked",12.1651358499639,10,1,178,5,15,20795,0,"ca",769646,0.0270189151895807,"California"
11,"Worked at home",NA,NA,NA,NA,NA,NA,41262,41262,"ca",769646,0.0536116604257022,"California"
12,"Other method",36.3485280151947,20,1,178,10,45,6318,0,"ca",769646,0.00820896879864249,"California"
1,"Car, truck, or van",24.0878294953454,20,1,194,10,30,102050,0,"co",120942,0.843792892460849,"Colorado"
2,"Bus or trolley bus",45.4914170313026,45,1,194,25,60,2971,0,"co",120942,0.0245654942038332,"Colorado"
3,"Streetcar or trolley car",41.3076923076923,40,10,95,30,45,65,0,"co",120942,0.000537447702204362,"Colorado"
4,"Subway or elevated",45.4,45,5,194,30,60,305,0,"co",120942,0.00252186998726662,"Colorado"
5,"Railroad",46.3509933774834,45,1,152,35,60,151,0,"co",120942,0.00124853235435167,"Colorado"
6,"Ferryboat",47.3636363636364,41,1,152,11,44.5,11,0,"co",120942,9.09526880653536e-05,"Colorado"
7,"Taxicab",27.0625,22.5,10,69,15,31.25,32,0,"co",120942,0.000264589638008301,"Colorado"
8,"Motorcycle",21.4447004608295,20,1,194,10,30,434,0,"co",120942,0.00358849696548759,"Colorado"
9,"Bicycle",17.3358974358974,15,1,194,10,20,1560,0,"co",120942,0.0128987448529047,"Colorado"
10,"Walked",9.96819697358297,5,1,194,3,10,3899,0,"co",120942,0.032238593706074,"Colorado"
11,"Worked at home",NA,NA,NA,NA,NA,NA,8564,8564,"co",120942,0.0708108018719717,"Colorado"
12,"Other method",48.99,20,1,194,10,60,900,0,"co",120942,0.00744158356898348,"Colorado"
1,"Car, truck, or van",24.0713814860156,20,1,179,10,30,74333,0,"ct",85146,0.873006365536843,"Connecticut"
2,"Bus or trolley bus",35.1023928770173,30,1,179,20,45,1797,0,"ct",85146,0.0211049256571066,"Connecticut"
3,"Streetcar or trolley car",34.1666666666667,27,10,90,16.25,48.75,18,0,"ct",85146,0.000211401592558664,"Connecticut"
4,"Subway or elevated",63.7179487179487,60,10,179,30,90,156,0,"ct",85146,0.00183214713550842,"Connecticut"
5,"Railroad",84.5806451612903,80,1,179,60,90,1674,0,"ct",85146,0.0196603481079557,"Connecticut"
6,"Ferryboat",61.7857142857143,60,15,144,26.25,85,14,0,"ct",85146,0.000164423460878961,"Connecticut"
7,"Taxicab",19.3484848484848,19,5,100,10,23.75,66,0,"ct",85146,0.000775139172715101,"Connecticut"
8,"Motorcycle",20.3052631578947,16,2,145,10,20,95,0,"ct",85146,0.00111573062739295,"Connecticut"
9,"Bicycle",16.4775510204082,15,1,100,10,20,245,0,"ct",85146,0.00287741056538181,"Connecticut"
10,"Walked",10.2366220735786,7,1,179,5,15,2392,0,"ct",85146,0.0280929227444625,"Connecticut"
11,"Worked at home",NA,NA,NA,NA,NA,NA,3843,3843,"ct",85146,0.0451342400112748,"Connecticut"
12,"Other method",32.8187134502924,15,1,179,10,30,513,0,"ct",85146,0.00602494538792192,"Connecticut"
1,"Car, truck, or van",24.6858832224686,20,1,182,12,30,17589,0,"de",19534,0.900430019453261,"Delaware"
2,"Bus or trolley bus",39.7424593967517,30,1,182,20,50,431,0,"de",19534,0.0220640933756527,"Delaware"
3,"Streetcar or trolley car",72.3333333333333,25,10,182,17.5,103.5,3,0,"de",19534,0.000153578376164636,"Delaware"
4,"Subway or elevated",57.6111111111111,45,20,133,32.5,82.5,18,0,"de",19534,0.000921470256987816,"Delaware"
5,"Railroad",83.2921348314607,80,4,182,60,100,89,0,"de",19534,0.0045561584928842,"Delaware"
7,"Taxicab",31.6666666666667,22,10,60,16.25,51.25,6,0,"de",19534,0.000307156752329272,"Delaware"
8,"Motorcycle",22.1034482758621,20,3,60,15,30,29,0,"de",19534,0.00148459096959148,"Delaware"
9,"Bicycle",15.875,15,3,60,10,16.25,64,0,"de",19534,0.00327633869151224,"Delaware"
10,"Walked",10.7712895377129,8,1,75,5,15,411,0,"de",19534,0.0210402375345551,"Delaware"
11,"Worked at home",NA,NA,NA,NA,NA,NA,757,757,"de",19534,0.0387529435855432,"Delaware"
12,"Other method",26.9051094890511,20,1,182,10,30,137,0,"de",19534,0.00701341251151838,"Delaware"
1,"Car, truck, or van",25.4733000351741,20,1,193,15,30,355375,0,"fl",395580,0.898364426917438,"Florida"
2,"Bus or trolley bus",47.4245047444648,40,1,193,25,60,6007,0,"fl",395580,0.0151852975377926,"Florida"
3,"Streetcar or trolley car",37.5918367346939,30,3,182,15,60,49,0,"fl",395580,0.000123868749684008,"Florida"
4,"Subway or elevated",46.2556179775281,45,3,182,30,60,356,0,"fl",395580,0.000899944385459326,"Florida"
5,"Railroad",68.0415094339623,60,5,193,40,90,265,0,"fl",395580,0.000669902421760453,"Florida"
6,"Ferryboat",27.4444444444444,20,2,90,15,30,18,0,"fl",395580,4.55028060063704e-05,"Florida"
7,"Taxicab",21.59375,15,1,193,10,25,288,0,"fl",395580,0.000728044896101926,"Florida"
8,"Motorcycle",23.1385390428212,20,1,182,10,30,1588,0,"fl",395580,0.00401435866322868,"Florida"
9,"Bicycle",19.732932589094,15,1,182,10,25,2329,0,"fl",395580,0.00588755751049092,"Florida"
10,"Walked",11.3437711577522,6,1,193,4,15,5908,0,"fl",395580,0.0149350321047576,"Florida"
11,"Worked at home",NA,NA,NA,NA,NA,NA,19453,19453,"fl",395580,0.0491758936245513,"Florida"
12,"Other method",43.7712981744422,20,1,193,10,45,3944,0,"fl",395580,0.00997017038272916,"Florida"
1,"Car, truck, or van",26.5584283254506,20,1,193,15,30,183524,0,"ga",204011,0.899578944272613,"Georgia"
2,"Bus or trolley bus",50.5716677829873,45,1,193,25,60,2986,0,"ga",204011,0.0146364656807721,"Georgia"
3,"Streetcar or trolley car",41.9230769230769,40,3,154,15,47.5,39,0,"ga",204011,0.000191166162608879,"Georgia"
4,"Subway or elevated",49.1192214111922,45,1,183,30,60,822,0,"ga",204011,0.00402919450421791,"Georgia"
5,"Railroad",53.2465753424658,45,15,148,35,60,146,0,"ga",204011,0.000715647685664008,"Georgia"
6,"Ferryboat",36,32,5,72,16.25,56,6,0,"ga",204011,2.94101788629045e-05,"Georgia"
