"","year","langcode","language","total","percent","rankinyear"
"1",1980,0,"N/A or blank",346500,0.0462297102938155,NA
"2",1980,1,"English",4888960,0.652280532288751,1
"3",1980,2,"German",47660,0.00635875322540619,7
"4",1980,3,"Yiddish, Jewish",18900,0.00252162056148084,12
"5",1980,4,"Dutch",13560,0.00180916268855451,16
"6",1980,5,"Swedish",3780,0.000504324112296169,28
"7",1980,6,"Danish",2820,0.000376241798062221,33
"8",1980,7,"Norwegian",2620,0.000349557982596816,34
"9",1980,8,"Icelandic",320,4.26941047446492e-05,52
"10",1980,10,"Italian",34940,0.00466166256180638,10
"11",1980,11,"French",38800,0.00517666020028871,8
"12",1980,12,"Spanish",1591000,0.212269752027303,2
"13",1980,13,"Portuguese",6600,0.00088056591035839,26
"14",1980,14,"Rumanian",3060,0.000408262376620708,29
"15",1980,15,"Celtic",720,9.60617356754608e-05,46
"16",1980,16,"Greek",10480,0.00139823193038726,21
"17",1980,17,"Albanian",60,8.00514463962173e-06,58
"18",1980,18,"Russian",14680,0.00195859205516078,15
"19",1980,19,"Ukrainian, Ruthenian, Little Russian",2360,0.000314869022491788,35
"20",1980,20,"Czech",3000,0.000400257231981087,30
"21",1980,21,"Polish",9960,0.0013288540101772,23
"22",1980,22,"Slovak",680,9.07249725823796e-05,47
"23",1980,23,"Serbo-Croatian, Yugoslavian, Slavonian",9220,0.0012301238929552,24
"24",1980,24,"Slovene",60,8.00514463962173e-06,58
"25",1980,25,"Lithuanian",2880,0.000384246942701843,31
"26",1980,26,"Other Balto-Slavic",800,0.000106735261861623,42
"27",1980,28,"Armenian",38600,0.00514997638482331,9
"28",1980,29,"Persian, Iranian, Farsi",16860,0.0022494456437337,14
"29",1980,30,"Other Persian dialects",440,5.87043940238927e-05,51
"30",1980,31,"Hindi and related",10900,0.00145426794286461,19
"31",1980,32,"Romany, Gypsy",540,7.20463017565956e-05,49
"32",1980,33,"Finnish",1740,0.00023214919454903,38
"33",1980,34,"Magyar, Hungarian",11960,0.00159569216483126,17
"34",1980,35,"Uralic",740,9.87301172220013e-05,45
"35",1980,36,"Turkish",1740,0.00023214919454903,38
"36",1980,37,"Other Altaic",220,2.93521970119463e-05,53
"37",1980,39,"Basque",160,2.13470523723246e-05,55
"38",1980,40,"Dravidian",1320,0.000176113182071678,41
"39",1980,43,"Chinese",77920,0.0103960145053221,3
"40",1980,44,"Tibetan",140,1.8678670825784e-05,56
"41",1980,45,"Burmese, Lisu, Lolo",780,0.000104066880315082,43
"42",1980,47,"Thai, Siamese, Lao",10400,0.0013875584042011,22
"43",1980,48,"Japanese",58280,0.00777566382661924,5
"44",1980,49,"Korean",55000,0.00733804925298658,6
"45",1980,50,"Vietnamese",19860,0.00264970287571479,11
"46",1980,51,"Other East/Southeast Asian",2840,0.000378910179608762,32
"47",1980,52,"Indonesian",2080,0.00027751168084022,37
"48",1980,53,"Other Malayan",1480,0.000197460234444003,40
"49",1980,54,"Filipino, Tagalog",68700,0.00916589061236688,4
"50",1980,55,"Micronesian, Polynesian",8580,0.0011447356834659,25
"51",1980,56,"Hawaiian",520,6.9377920210055e-05,50
"52",1980,57,"Arabic",17940,0.00239353824724689,13
