County,DTaP,Polio,Varicella,MMR,HepB,HepA,Hib,All vaccines,x,y
Baker County,76.85512367491167,88.51590106007066,84.09893992932862,85.86572438162544,88.51590106007066,85.33568904593639,86.21908127208481,72.43816254416961,,
Benton County,80.39574935873947,88.933675338952,86.44192011725907,88.0908757786735,87.28471967753755,87.0648589226823,86.36863319897398,75.85196042506412,,
Clackamas County,83.57991109931666,89.9754527963909,88.71492071916673,89.92901214091422,87.41458236581968,88.66848006369004,88.54906123532143,78.0402043388841,,
Clatsop County,81.34275618374558,90.31802120141343,85.01766784452298,87.27915194346289,87.63250883392226,85.86572438162544,87.91519434628975,75.05300353356891,,
Columbia County,78.14533622559652,85.57483731019524,86.1713665943601,87.85249457700651,83.29718004338395,85.412147505423,86.8763557483731,70.87852494577007,,
Coos County,82.5503355704698,90.60402684563759,87.58389261744966,88.6385426653883,91.94630872483222,87.72770853307766,89.35762224352828,78.8111217641419,,
Crook County,84.53815261044177,91.26506024096386,90.06024096385542,91.06425702811245,92.7710843373494,88.95582329317268,89.35742971887551,80.22088353413655,,
Curry County,75.59726962457339,86.00682593856655,82.93515358361775,83.61774744027304,85.49488054607508,81.74061433447099,85.6655290102389,69.28327645051195,,
Deschutes County,82.82828282828282,88.96759805850715,87.91814246359701,88.9413616686344,89.8465171192444,87.01298701298701,87.18352354715991,77.79089597271415,,
Douglas County,81.97314049586777,91.01239669421489,89.10123966942149,89.74690082644628,92.35537190082644,88.94628099173553,88.71384297520662,78.82231404958677,,
Gilliam County,84.72222222222221,93.05555555555556,90.27777777777779,93.05555555555556,93.05555555555556,87.5,93.05555555555556,81.94444444444444,,
Grant County,67.5925925925926,85.18518518518519,81.94444444444444,85.18518518518519,86.11111111111111,78.70370370370371,81.94444444444444,65.27777777777779,,
Harney County,83.5016835016835,91.58249158249158,89.8989898989899,90.9090909090909,90.57239057239057,87.20538720538721,90.57239057239057,79.12457912457911,,
Hood River County,83.2807570977918,90.53627760252367,88.74868559411146,90.22082018927445,89.6950578338591,88.64353312302839,89.58990536277602,78.7592008412198,,
Jackson County,81.10421836228288,89.03225806451613,86.60049627791562,87.87841191066997,86.93548387096774,85.04962779156328,86.12903225806451,74.40446650124069,,
Jefferson County,83.31877729257641,92.05240174672488,90.65502183406113,91.79039301310044,93.53711790393014,88.73362445414847,89.95633187772926,80.34934497816593,,
Josephine County,76.95086705202311,85.47687861271676,80.85260115606935,82.15317919075144,84.82658959537572,81.4306358381503,83.27312138728324,70.77312138728324,,
Klamath County,80.13400335008374,89.31323283082077,85.89614740368509,86.8676716917923,89.74874371859296,87.30318257956449,85.82914572864323,75.81239530988275,,
Lake County,73.73737373737373,87.87878787878788,84.51178451178451,85.18518518518519,89.22558922558923,84.17508417508418,83.5016835016835,69.36026936026936,,
Lane County,83.43462549277267,91.11366622864652,89.10972404730617,89.84888304862024,91.65571616294349,88.85512483574244,88.47733245729303,80.40407358738501,,
Lincoln County,80.17591339648173,88.70094722598105,87.61840324763193,88.43031123139377,88.02435723951285,86.87415426251691,88.09201623815967,76.31935047361299,,
Linn County,81.73219584569733,90.56008902077151,87.12908011869436,89.9666172106825,86.90652818991099,87.68545994065282,88.26038575667656,76.00148367952522,,
Malheur County,84.22753716871364,91.91984486102133,90.23917259211377,90.9502262443439,92.76018099547511,91.07950872656755,89.91596638655463,81.83581124757595,,
Marion County,84.08097383818684,91.33095702468222,90.39612616853857,91.3175062209967,91.15609657677047,89.74376218979084,89.83119241374672,80.29457260071288,,
Morrow County,81.31539611360239,90.73243647234679,89.98505231689087,90.43348281016442,91.4798206278027,89.68609865470853,89.0881913303438,78.47533632286996,,
Multnomah County,81.19137790677097,88.71624252291792,88.24549605351643,89.4170530563126,87.09163628641207,87.94818249389445,87.67918451137933,76.37419035146709,,
North Central Public Health District,81.94690265486726,90.97345132743364,87.52212389380531,88.67256637168141,92.03539823008849,87.16814159292035,87.16814159292035,78.2300884955752,,
Polk County,84.17849898580123,92.0892494929006,90.72732541292379,91.62561576354679,91.88640973630832,90.03187481889307,89.59721819762387,80.35352071863228,,
Tillamook County,77.99352750809061,87.48651564185545,85.86839266450917,87.16289104638619,89.42826321467098,83.60302049622437,84.89751887810141,72.70765911542611,,
Umatilla County,83.60702151755379,91.8176670441676,91.25141562853906,91.8176670441676,91.33635334088335,90.51528878822197,89.80747451868629,79.50169875424689,,
Union County,85.49695740365112,92.79918864097363,87.82961460446246,91.07505070993915,91.68356997971603,90.16227180527383,88.64097363083164,80.93306288032454,,
Wallowa County,86.66666666666667,94.16666666666667,90,91.66666666666666,92.5,87.5,91.25,80.41666666666667,,
Washington County,83.17658123677404,90.4224469002273,89.32910102672624,89.99529743710322,88.33372521357474,89.28207539775845,88.8706011442903,78.44658672309743,,
Wheeler County,84.84848484848484,93.93939393939394,93.93939393939394,93.93939393939394,96.96969696969697,93.93939393939394,93.93939393939394,84.84848484848484,,
Yamhill County,85.65110565110565,91.64619164619164,90.66339066339066,91.47420147420148,90.22113022113022,89.95085995085995,90.07371007371007,80.78624078624078,,
