County,City,# Documentation Required (Adjusted Enrollment),# Not Counted,Per_Vac_DTap_Tdap,Per_Vac_Polio,Per_Vac_Varicella,Per_Vac_MMR1,Per_Vac_HepB,Per_Vac_HepA,Per_Vac_Hib,Per_Vac_AllVac_Req,PerNonmed_Exempt__AnyVac,PerNonmed_Exempt__DTaP_Tdap,PerNonmed_Exempt__Polio,PerNonmed_Exempt__Varicella,PerNonmed_Exempt__MMR1,PerNonmed_Exempt__HepB,PerNonmed_Exempt__HepA,PerNonmed_Exempt__Hib,PerNonmed_Exempt__AllVac,Percent_No_Record,Precent_Medical_Exemptions,x,y
Jackson,CENTRAL POINT,10,6,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,-122.90553269999998,42.36621325900006
Jackson,CENTRAL POINT,13,3,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,-122.92175042599996,42.390087728000026
Marion,SALEM,10,0,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,-123.03608947599997,44.90281189600006
Lane,Springfield,10,5,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,-123.01640055299998,44.06499767400004
Linn,Lebanon,Site has fewer than 10 children in the adjusted enrollment. No numbers are displayed.,,,,,,,,,,,,,,,,,,,,,-122.85238238199997,44.51036393900006
Yamhill,Dayton,10,0,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,-123.08271691299996,45.21503854300005
Deschutes,Bend,52,0,94.2,92.3,90.4,94.2,90.4,88.5,94.2,88.5,11.5,5.8,7.7,9.6,5.8,9.6,11.5,5.8,5.8,0,0,-121.36214249999995,44.052174000000036
Deschutes,BEND,84,0,91.7,88.1,89.3,90.5,86.9,85.7,90.5,85.7,14.3,8.3,11.9,10.7,9.5,13.1,14.3,9.5,7.1,0,0,-121.299195355,44.07146548600008
Washington,Beaverton,87,0,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,0,0,-122.83061809999998,45.44183633100005
Washington,Portland,186,0,98.4,97.8,96.8,97.8,96.2,96.2,98.9,92.5,5.4,1.6,2.2,3.2,2.2,3.8,3.8,1.1,0.5,0,0,-122.80920299999997,45.527202000000045
Yamhill,Mcminnville,49,0,79.6,87.8,89.8,93.9,87.8,89.8,91.8,77.6,12.2,8.2,8.2,8.2,6.1,6.1,10.2,8.2,4.1,0,0,-123.19679947699996,45.20829228500003
Douglas,Winston,Site has fewer than 10 children in the adjusted enrollment. No numbers are displayed.,,,,,,,,,,,,,,,,,,,,,-123.40576132899997,43.12598312000006
Marion,Keizer,43,1,83.7,83.7,88.4,88.4,83.7,83.7,93,83.7,16.3,16.3,11.6,11.6,11.6,9.3,16.3,7,4.7,0,0,-123.02178810499998,44.97334301200004
Marion,Salem,65,6,92.3,92.3,95.4,95.4,92.3,92.3,95.4,92.3,7.7,4.6,4.6,4.6,4.6,6.2,6.2,4.6,4.6,0,0,-122.98464822699998,44.96824174400007
Marion,Salem,Site has fewer than 10 children in the adjusted enrollment. No numbers are displayed.,,,,,,,,,,,,,,,,,,,,,-123.01294452699995,44.87676978300004
Clackamas,Gladstone,13,0,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,-122.57810672899996,45.396779913000046
Yamhill,SHERIDAN,20,6,95,95,95,95,95,95,95,95,5,5,5,5,5,5,5,5,5,0,0,-123.41065883199997,45.09858572500008
Lane,EUGENE,13,7,84.6,84.6,92.3,92.3,92.3,92.3,92.3,84.6,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,0,0,-123.12481200499997,44.08798152300005
Lane,Springfield,Site has fewer than 10 children in the adjusted enrollment. No numbers are displayed.,,,,,,,,,,,,,,,,,,,,,-122.91731019599996,44.051789764000034
Washington,Beaverton,33,0,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,-123.26831999899997,44.575668000000064
Lincoln,NEWPORT,25,0,88,88,88,88,88,88,88,88,12,12,12,12,12,12,12,12,12,0,0,-124.06799826599996,44.770073026000034
North Central,Wasco,Site has fewer than 10 children in the adjusted enrollment. No numbers are displayed.,,,,,,,,,,,,,,,,,,,,,-123.26831999899997,44.575668000000064
Curry,Brookings,16,7,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,0,0,-124.27973999999995,42.051600000000064
Multnomah,Portland,20,0,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,-122.78556947699997,45.59838073600008
Polk,Salem,Site has fewer than 10 children in the adjusted enrollment. No numbers are displayed.,,,,,,,,,,,,,,,,,,,,,-123.07739130399995,44.98088634800007
Washington,Hillsboro,Site has fewer than 10 children in the adjusted enrollment. No numbers are displayed.,,,,,,,,,,,,,,,,,,,,,-123.26831999899997,44.575668000000064
