PLAYER,POS,Number,BIRTHDATE,TeamAbb,TeamName,City
Breanna Stewart,F,30,8/27/1994,SEA,Storm,Seattle
Jewell Loyd,G,24,10/5/1993,SEA,Storm,Seattle
Sue Bird,G,10,10/16/1980,SEA,Storm,Seattle
Gabby Williams,F,5,9/9/1996,SEA,Storm,Seattle
Tina Charles,C,31,12/5/1988,SEA,Storm,Seattle
Ezi Magbegor,C,13,8/13/1999,SEA,Storm,Seattle
Kaela Davis,F,3,3/15/1995,SEA,Storm,Seattle
Briann January,G,20,1/11/1987,SEA,Storm,Seattle
Stephanie Talbot,F,7,6/15/1994,SEA,Storm,Seattle
Epiphanny Prince,G,11,1/11/1988,SEA,Storm,Seattle
Jantel Lavender,F,14,11/12/1988,SEA,Storm,Seattle
Mercedes Russell,C,21,7/27/1995,SEA,Storm,Seattle
Kiana Williams,G,23,4/9/1999,SEA,Storm,Seattle
Reshanda Gray,F,1,6/1/1993,SEA,Storm,Seattle
Raina Perez,G,2,7/30/1998,SEA,Storm,Seattle
Jackie Young,F,0,9/16/1997,LVA,Aces,Las Vegas
Kelsey Plum,G,10,8/24/1994,LVA,Aces,Las Vegas
A'ja Wilson,F,22,8/8/1996,LVA,Aces,Las Vegas
Chelsea Gray,G,12,10/8/1992,LVA,Aces,Las Vegas
Dearica Hamby,F,5,11/6/1993,LVA,Aces,Las Vegas
Riquna Williams,G,2,5/28/1990,LVA,Aces,Las Vegas
Kiah Stokes,C,41,3/30/1993,LVA,Aces,Las Vegas
Iliana Rupert,C,21,7/12/2001,LVA,Aces,Las Vegas
Theresa Plaisance,F,55,5/18/1992,LVA,Aces,Las Vegas
Aisha Sheppard,G,4,11/13/1998,LVA,Aces,Las Vegas
Sydney Colson,G,51,8/6/1989,LVA,Aces,Las Vegas
Kierstan Bell,G,1,3/16/2000,LVA,Aces,Las Vegas
Skylar Diggins-Smith,G,4,8/2/1990,PHO,Mercury,Phoenix
Brianna Turner,C,21,7/5/1996,PHO,Mercury,Phoenix
Tina Charles,C,31,12/5/1988,PHO,Mercury,Phoenix
Diana Taurasi,G,3,6/11/1982,PHO,Mercury,Phoenix
Sophie Cunningham,F,9,8/16/1996,PHO,Mercury,Phoenix
Shey Peddy,F,11,10/28/1988,PHO,Mercury,Phoenix
Diamond DeShields,G,1,3/5/1995,PHO,Mercury,Phoenix
Jennie Simms,G,25,4/21/1994,PHO,Mercury,Phoenix
Yvonne Turner,G,6,10/13/1987,PHO,Mercury,Phoenix
Karlie Samuelson,F,44,5/10/1995,PHO,Mercury,Phoenix
Megan Gustafson,C,10,12/13/1996,PHO,Mercury,Phoenix
Reshanda Gray,F,12,6/1/1993,PHO,Mercury,Phoenix
Kristine Anigwe,F,33,3/31/1997,PHO,Mercury,Phoenix
Emma Cannon,F,24,6/1/1989,PHO,Mercury,Phoenix
Kaela Davis,F,33,3/15/1995,PHO,Mercury,Phoenix
Sam Thomas,F,14,6/14/1999,PHO,Mercury,Phoenix
Brittney Griner,C,42,10/18/1990,PHO,Mercury,Phoenix
Kia Nurse,G,0,2/22/1996,PHO,Mercury,Phoenix
Allisha Gray,F,15,1/12/1995,DAL,Wings,Dallas
Arike Ogunbowale,G,24,3/2/1997,DAL,Wings,Dallas
Kayla Thornton,F,6,10/20/1992,DAL,Wings,Dallas
Marina Mabrey,G,3,9/14/1996,DAL,Wings,Dallas
Satou Sabally,F,0,4/25/1998,DAL,Wings,Dallas
Teaira McCowan,C,7,9/28/1996,DAL,Wings,Dallas
Isabelle Harrison,F,20,9/27/1993,DAL,Wings,Dallas
Tyasha Harris,G,52,5/1/1998,DAL,Wings,Dallas
Veronica Burton,G,12,7/12/2000,DAL,Wings,Dallas
Awak Kuier,F,28,8/19/2001,DAL,Wings,Dallas
Jasmine Dickey,G,23,2/23/2000,DAL,Wings,Dallas
Charli Collier,F-C,35,9/22/1999,DAL,Wings,Dallas
Moriah Jefferson,G,4,3/8/1994,DAL,Wings,Dallas
Kelsey Mitchell,G,0,11/12/1995,IND,Fever,Indiana
NaLyssa Smith,F,1,8/8/2000,IND,Fever,Indiana
Victoria Vivians,G,35,11/17/1994,IND,Fever,Indiana
Danielle Robinson,G,3,5/10/1989,IND,Fever,Indiana
Queen Egbo,C,4,6/29/2000,IND,Fever,Indiana
Emily Engstler,F,21,5/1/2000,IND,Fever,Indiana
Destanni Henderson,G,33,2/2/1999,IND,Fever,Indiana
Tiffany Mitchell,F,25,9/23/1994,IND,Fever,Indiana
Crystal Dangerfield,G,2,5/11/1998,IND,Fever,Indiana
Emma Cannon,C,32,6/1/1989,IND,Fever,Indiana
Lexie Hull,G,10,9/13/1999,IND,Fever,Indiana
Alanna Smith,F,11,9/10/1996,IND,Fever,Indiana
Alaina Coates,C,81,4/7/1995,IND,Fever,Indiana
Bria Hartley,G,14,9/30/1992,IND,Fever,Indiana
Khayla Pointer,G,13,11/25/1998,IND,Fever,Indiana
Rennia Davis,F,9,2/24/1999,IND,Fever,Indiana
Nneka Ogwumike,F,30,7/2/1990,LAS,Sparks,Los Angeles
Katie Lou Samuelson,F,33,6/13/1997,LAS,Sparks,Los Angeles
Brittney Sykes,G,15,2/7/1994,LAS,Sparks,Los Angeles
Jordin Canada,G,21,8/11/1995,LAS,Sparks,Los Angeles
Lexie Brown,G,4,10/27/1994,LAS,Sparks,Los Angeles
Liz Cambage,C,1,8/18/1991,LAS,Sparks,Los Angeles
