PLAYER,POS,Number,BIRTHDATE,TeamAbb,TeamName,City
Breanna Stewart,F,30,08-27-1994,SEA,Storm,Seattle
Jewell Loyd,G,24,10-05-1993,SEA,Storm,Seattle
Sue Bird,G,10,10-16-1980,SEA,Storm,Seattle
Gabby Williams,F,5,09-09-1996,SEA,Storm,Seattle
Tina Charles,C,31,12-05-1988,SEA,Storm,Seattle
Ezi Magbegor,C,13,08-13-1999,SEA,Storm,Seattle
Kaela Davis,F,3,03-15-1995,SEA,Storm,Seattle
Briann January,G,20,01-11-1987,SEA,Storm,Seattle
Stephanie Talbot,F,7,06-15-1994,SEA,Storm,Seattle
Epiphanny Prince,G,11,01-11-1988,SEA,Storm,Seattle
Jantel Lavender,F,14,11-12-1988,SEA,Storm,Seattle
Mercedes Russell,C,21,07-27-1995,SEA,Storm,Seattle
Kiana Williams,G,23,04-09-1999,SEA,Storm,Seattle
Reshanda Gray,F,1,06-01-1993,SEA,Storm,Seattle
Raina Perez,G,2,07-30-1998,SEA,Storm,Seattle
Jackie Young,F,0,09-16-1997,LVA,Aces,Las Vegas
Kelsey Plum,G,10,08-24-1994,LVA,Aces,Las Vegas
A'ja Wilson,F,22,08-08-1996,LVA,Aces,Las Vegas
Chelsea Gray,G,12,10-08-1992,LVA,Aces,Las Vegas
Dearica Hamby,F,5,11-06-1993,LVA,Aces,Las Vegas
Riquna Williams,G,2,05-28-1990,LVA,Aces,Las Vegas
Kiah Stokes,C,41,03-30-1993,LVA,Aces,Las Vegas
Iliana Rupert,C,21,07-12-2001,LVA,Aces,Las Vegas
Theresa Plaisance,F,55,05-18-1992,LVA,Aces,Las Vegas
Aisha Sheppard,G,4,11-13-1998,LVA,Aces,Las Vegas
Sydney Colson,G,51,08-06-1989,LVA,Aces,Las Vegas
Kierstan Bell,G,1,03-16-2000,LVA,Aces,Las Vegas
Skylar Diggins-Smith,G,4,08-02-1990,PHO,Mercury,Phoenix
Brianna Turner,C,21,07-05-1996,PHO,Mercury,Phoenix
Tina Charles,C,31,12-05-1988,PHO,Mercury,Phoenix
Diana Taurasi,G,3,06-11-1982,PHO,Mercury,Phoenix
Sophie Cunningham,F,9,08-16-1996,PHO,Mercury,Phoenix
Shey Peddy,F,11,10-28-1988,PHO,Mercury,Phoenix
Diamond DeShields,G,1,03-05-1995,PHO,Mercury,Phoenix
Jennie Simms,G,25,04-21-1994,PHO,Mercury,Phoenix
Yvonne Turner,G,6,10-13-1987,PHO,Mercury,Phoenix
Karlie Samuelson,F,44,05-10-1995,PHO,Mercury,Phoenix
Megan Gustafson,C,10,12-13-1996,PHO,Mercury,Phoenix
Reshanda Gray,F,12,06-01-1993,PHO,Mercury,Phoenix
Kristine Anigwe,F,33,03-31-1997,PHO,Mercury,Phoenix
Emma Cannon,F,24,06-01-1989,PHO,Mercury,Phoenix
Kaela Davis,F,33,03-15-1995,PHO,Mercury,Phoenix
Sam Thomas,F,14,06-14-1999,PHO,Mercury,Phoenix
Brittney Griner,C,42,10-18-1990,PHO,Mercury,Phoenix
Kia Nurse,G,0,02-22-1996,PHO,Mercury,Phoenix
Allisha Gray,F,15,01-12-1995,DAL,Wings,Dallas
Arike Ogunbowale,G,24,03-02-1997,DAL,Wings,Dallas
Kayla Thornton,F,6,10-20-1992,DAL,Wings,Dallas
Marina Mabrey,G,3,09-14-1996,DAL,Wings,Dallas
Satou Sabally,F,0,04-25-1998,DAL,Wings,Dallas
Teaira McCowan,C,7,09-28-1996,DAL,Wings,Dallas
Isabelle Harrison,F,20,09-27-1993,DAL,Wings,Dallas
Tyasha Harris,G,52,05-01-1998,DAL,Wings,Dallas
Veronica Burton,G,12,07-12-2000,DAL,Wings,Dallas
Awak Kuier,F,28,08-19-2001,DAL,Wings,Dallas
Jasmine Dickey,G,23,02-23-2000,DAL,Wings,Dallas
Charli Collier,F-C,35,09-22-1999,DAL,Wings,Dallas
Moriah Jefferson,G,4,03-08-1994,DAL,Wings,Dallas
Kelsey Mitchell,G,0,11-12-1995,IND,Fever,Indiana
NaLyssa Smith,F,1,08-08-2000,IND,Fever,Indiana
Victoria Vivians,G,35,11-17-1994,IND,Fever,Indiana
Danielle Robinson,G,3,05-10-1989,IND,Fever,Indiana
Queen Egbo,C,4,06-29-2000,IND,Fever,Indiana
Emily Engstler,F,21,05-01-2000,IND,Fever,Indiana
Destanni Henderson,G,33,02-02-1999,IND,Fever,Indiana
Tiffany Mitchell,F,25,09-23-1994,IND,Fever,Indiana
Crystal Dangerfield,G,2,05-11-1998,IND,Fever,Indiana
Emma Cannon,C,32,06-01-1989,IND,Fever,Indiana
Lexie Hull,G,10,09-13-1999,IND,Fever,Indiana
Alanna Smith,F,11,09-10-1996,IND,Fever,Indiana
Alaina Coates,C,81,04-07-1995,IND,Fever,Indiana
Bria Hartley,G,14,09-30-1992,IND,Fever,Indiana
Khayla Pointer,G,13,11-25-1998,IND,Fever,Indiana
Rennia Davis,F,9,02-24-1999,IND,Fever,Indiana
Nneka Ogwumike,F,30,07-02-1990,LAS,Sparks,Los Angeles
Katie Lou Samuelson,F,33,06-13-1997,LAS,Sparks,Los Angeles
Brittney Sykes,G,15,02-07-1994,LAS,Sparks,Los Angeles
Jordin Canada,G,21,08-11-1995,LAS,Sparks,Los Angeles
Lexie Brown,G,4,10-27-1994,LAS,Sparks,Los Angeles
Liz Cambage,C,1,08-18-1991,LAS,Sparks,Los Angeles
Kristi Toliver,G,20,01-27-1987,LAS,Sparks,Los Angeles
Chiney Ogwumike,F-C,13,03-21-1992,LAS,Sparks,Los Angeles
Chennedy Carter,G,7,11-14-1998,LAS,Sparks,Los Angeles
Olivia Nelson-Ododa,C,10,08-17-2000,LAS,Sparks,Los Angeles
Rae Burrell,G-F,12,06-21-2000,LAS,Sparks,Los Angeles
Kianna Smith,G,5,06-10-1999,LAS,Sparks,Los Angeles
Jasmine Walker,F,40,02-03-1998,LAS,Sparks,Los Angeles
Amy Atwell,F,25,06-30-1998,LAS,Sparks,Los Angeles
Sabrina Ionescu,G,20,12-06-1997,NYL,Liberty,New York
Natasha Howard,F,6,09-02-1991,NYL,Liberty,New York
Betnijah Laney-Hamilton,G-F,44,10-29-1993,NYL,Liberty,New York
Marine Johannes,G,23,01-21-1995,NYL,Liberty,New York
Stefanie Dolson,C,31,01-08-1992,NYL,Liberty,New York
Crystal Dangerfield,G,3,05-11-1998,NYL,Liberty,New York
Sami Whitcomb,G,32,07-20-1988,NYL,Liberty,New York
Rebecca Allen,F,9,11-06-1992,NYL,Liberty,New York
Han Xu,C,21,10-31-1999,NYL,Liberty,New York
Michaela Onyenwere,F,12,08-10-1999,NYL,Liberty,New York
DiDi Richards,G-F,2,02-08-1999,NYL,Liberty,New York
Jocelyn Willoughby,F-G,13,03-25-1998,NYL,Liberty,New York
Lorela Cubaj,F,18,01-08-1999,NYL,Liberty,New York
Asia (AD) Durr,G,25,04-05-1997,NYL,Liberty,New York
Kaila Charles,G-F,5,03-23-1998,NYL,Liberty,New York
Natasha Cloud,G,9,02-22-1992,WAS,Mystics,Washington
Ariel Atkins,G,7,07-30-1996,WAS,Mystics,Washington
Elena Delle Donne,F,11,09-05-1989,WAS,Mystics,Washington
Alysha Clark,F,22,07-07-1987,WAS,Mystics,Washington
Shakira Austin,C,0,07-25-2000,WAS,Mystics,Washington
Shatori Walker-Kimbrough,G,32,05-18-1995,WAS,Mystics,Washington
Myisha Hines-Allen,F,2,05-30-1996,WAS,Mystics,Washington
Elizabeth Williams,C-F,1,06-23-1993,WAS,Mystics,Washington
