TeamAbb,TeamName,City,League
SEA,Storm,Seattle,WNBA
LVA,Aces,Las Vegas,WNBA
PHO,Mercury,Phoenix,WNBA
DAL,Wings,Dallas,WNBA
IND,Fever,Indiana,WNBA
LAS,Sparks,Los Angeles,WNBA
NYL,Liberty,New York,WNBA
WAS,Mystics,Washington,WNBA
ATL,Dream,Atlanta,WNBA
CHI,Sky,Chicago,WNBA
CON,Sun,Connecticut,WNBA
MIN,Lynx,Minnesota,WNBA
ATL,Hawks,Atlanta,NBA
BOS,Celtics,Boston,NBA
CHA,Hornets,Charlotte,NBA
CHI,Bulls,Chicago,NBA
CLE,Cavaliers,Cleveland,NBA
DAL,Mavericks,Dallas,NBA
DEN,Nuggets,Denver,NBA
DET,Pistons,Detroit,NBA
GSW,Warriors,Golden State,NBA
HOU,Rockets,Houston,NBA
IND,Pacers,Indiana,NBA
LAC,Clippers,Los Angeles,NBA
LAL,Lakers,Los Angeles,NBA
MEM,Grizzlies,Memphis,NBA
MIA,Heat,Miami,NBA
MIL,Bucks,Milwaukee,NBA
MIN,Timberwolves,Minnesota,NBA
NOP,Pelicans,New Orleans,NBA
NYK,Knicks,New York,NBA
BKN,Nets,Brooklyn,NBA
OKC,Thunder,Oklahoma City,NBA
ORL,Magic,Orlando,NBA
PHI,76ers,Philadelphia,NBA
PHO,Suns,Phoenix,NBA
POR,Trail Blazers,Portland,NBA
SAC,Kings,Sacramento,NBA
TOR,Raptors,Toronto,NBA
UTH,Jazz,Utah,NBA
WAS,Wizards,Washington,NBA
SAS,Spurs,San Antonio,NBA
