"Player","Salary","SimpPos","Position","Age","TeamAbb","GP","GS","MP","FG","FGA","FGP","X3P","X3PA","X3PP","X2P","X2PA","X2PP","FT","FTA","FTP","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","League"
"Stephen Curry",48070014,"G","PG",34,"GSW",56,56,34.7,10,20.2,0.493,4.9,11.4,0.427,5.1,8.8,0.579,4.6,5,0.915,0.7,5.4,6.1,6.3,0.9,0.4,3.2,2.1,29.4,"NBA"
"John Wall",47345760,"G","PG",32,"LAC",34,3,22.2,4.1,9.9,0.408,1,3.2,0.303,3.1,6.7,0.459,2.3,3.3,0.681,0.4,2.3,2.7,5.2,0.8,0.4,2.4,1.7,11.4,"NBA"
"Russell Westbrook",47080179,"G","PG",34,"LAL/LAC",73,24,29.1,5.9,13.6,0.436,1.2,3.9,0.311,4.7,9.7,0.487,2.8,4.3,0.656,1.2,4.6,5.8,7.5,1,0.5,3.5,2.2,15.9,"NBA"
"LeBron James",44474988,"F","PF",38,"LAL",55,54,35.5,11.1,22.2,0.5,2.2,6.9,0.321,8.9,15.3,0.58,4.6,5.9,0.768,1.2,7.1,8.3,6.8,0.9,0.6,3.2,1.6,28.9,"NBA"
"Kevin Durant",44119845,"F","PF",34,"BRK/PHO",47,47,35.6,10.3,18.3,0.56,2,4.9,0.404,8.3,13.4,0.617,6.5,7.1,0.919,0.4,6.3,6.7,5,0.7,1.4,3.3,2.1,29.1,"NBA"
"Bradley Beal",43279250,"G","SG",29,"WAS",50,50,33.5,8.9,17.6,0.506,1.6,4.4,0.365,7.3,13.2,0.552,3.8,4.6,0.842,0.8,3.1,3.9,5.4,0.9,0.7,2.9,2.1,23.2,"NBA"
"Kawhi Leonard",42492492,"F","SF",31,"LAC",52,50,33.6,8.6,16.8,0.512,2,4.8,0.416,6.6,11.9,0.551,4.7,5.4,0.871,1.1,5.4,6.5,3.9,1.4,0.5,1.7,1.6,23.8,"NBA"
"Paul George",42492492,"F","SF",32,"LAC",56,56,34.6,8.2,17.9,0.457,2.8,7.6,0.371,5.4,10.3,0.521,4.6,5.3,0.871,0.8,5.3,6.1,5.1,1.5,0.4,3.1,2.8,23.8,"NBA"
"Giannis Antetokounmpo",42492492,"F","PF",28,"MIL",63,63,32.1,11.2,20.3,0.553,0.7,2.7,0.275,10.5,17.6,0.596,7.9,12.3,0.645,2.2,9.6,11.8,5.7,0.8,0.8,3.9,3.1,31.1,"NBA"
"Damian Lillard",42492492,"G","PG",32,"POR",58,58,36.3,9.6,20.7,0.463,4.2,11.3,0.371,5.4,9.4,0.574,8.8,9.6,0.914,0.8,4,4.8,7.3,0.9,0.3,3.3,1.9,32.2,"NBA"
"Klay Thompson",40600080,"F","SF",32,"GSW",69,69,33,7.9,18.1,0.436,4.4,10.6,0.412,3.6,7.6,0.47,1.7,1.9,0.879,0.6,3.6,4.1,2.4,0.7,0.4,1.8,1.9,21.9,"NBA"
"Kyrie Irving",38917057,"G","PG-SG",30,"BRK/DAL",60,60,37.4,9.9,20.1,0.494,3.1,8.3,0.379,6.8,11.8,0.574,4.1,4.6,0.905,1,4.1,5.1,5.5,1.1,0.8,2.1,2.8,27.1,"NBA"
"Rudy Gobert",38172414,"C","C",30,"MIN",70,70,30.7,5.1,7.8,0.659,0,0,0,5.1,7.8,0.663,3.1,4.9,0.644,3.3,8.3,11.6,1.2,0.8,1.4,1.7,3,13.4,"NBA"
"Khris Middleton",37984276,"F","SF",31,"MIL",33,19,24.3,5.4,12.3,0.436,1.5,4.9,0.315,3.8,7.4,0.516,2.8,3.1,0.902,0.8,3.4,4.2,4.9,0.7,0.2,2.2,2.1,15.1,"NBA"
"Anthony Davis",37980720,"C","C",29,"LAL",56,54,34,9.7,17.2,0.563,0.3,1.3,0.257,9.3,15.9,0.589,6.2,7.9,0.784,3.5,9.1,12.5,2.6,1.1,2,2.2,2.6,25.9,"NBA"
"Jimmy Butler",37653300,"F","PF",33,"MIA",64,64,33.4,7.5,13.9,0.539,0.6,1.6,0.35,6.9,12.3,0.564,7.4,8.7,0.85,2.2,3.7,5.9,5.3,1.8,0.3,1.6,1.3,22.9,"NBA"
"Tobias Harris",37633050,"F","SF",30,"PHI",74,74,32.9,5.7,11.4,0.501,1.7,4.4,0.389,4,7,0.57,1.5,1.7,0.876,0.9,4.8,5.7,2.5,0.9,0.5,1.2,2,14.7,"NBA"
